Rewards 	Actor Loss	Criti_1 Loss	Critic_2 Loss
7.900292	1.951456	0.080255	0.055111
7.642543	1.966169	0.064673	0.057574
-3.912143	1.847282	0.043340	0.046855
8.135408	1.648686	0.050598	0.042333
8.087417	1.931651	0.060717	0.090995
7.500125	1.806591	0.049793	0.044366
8.074295	1.769457	0.036461	0.042836
7.978863	1.806208	0.071476	0.035521
3.306498	1.873611	0.080078	0.074592
7.843148	1.469298	0.045569	0.054973
7.553842	1.573358	0.094236	0.072957
7.501533	1.943143	0.071866	0.069532
7.519269	1.558972	0.141246	0.124834
8.102626	1.533200	0.071473	0.082102
8.146279	1.788730	0.065946	0.053223
4.325482	1.704657	0.039418	0.036382
7.658176	1.672873	0.221712	0.151484
3.958668	1.873623	0.071200	0.054661
4.056927	1.883612	0.048983	0.055879
7.841389	1.674248	0.095751	0.105533
7.242066	2.009368	0.038919	0.034107
8.183277	1.616701	0.061756	0.069654
-0.257211	1.629128	0.061680	0.044538
6.654714	1.543836	0.088279	0.086277
8.176947	1.450932	0.136975	0.111554
7.237884	1.681761	0.077961	0.075982
7.711115	1.556726	0.053609	0.103933
8.130998	1.879373	0.059610	0.088906
4.541537	1.413703	0.136062	0.151186
7.817432	1.565338	0.081931	0.060093
7.702673	1.358840	0.051057	0.062166
8.048768	1.387292	0.055262	0.050372
7.863013	1.835715	0.028321	0.042111
7.812770	1.294175	0.114928	0.157133
7.787055	1.693581	0.080641	0.066731
8.222373	1.416004	0.063312	0.053383
6.199314	1.635698	0.061632	0.050951
8.130408	1.442709	0.105466	0.139598
4.642474	1.333419	0.081621	0.076606
4.699437	1.507760	0.068066	0.137018
3.525710	1.779597	0.033998	0.038214
7.983463	1.281421	0.063775	0.061913
8.147044	1.213290	0.104934	0.061807
7.852886	1.459070	0.046129	0.033120
7.831382	1.079632	0.079134	0.063991
8.110590	1.279206	0.072116	0.065763
8.033572	1.554600	0.042306	0.029433
8.130525	1.664593	0.052478	0.123908
7.554463	1.878423	0.101603	0.085201
7.483459	1.463868	0.164206	0.067367
4.626818	1.686140	0.065322	0.078609
7.388896	1.756600	0.054358	0.113234
8.117874	1.571432	0.232721	0.061143
7.815136	1.338482	0.127039	0.064096
7.489479	1.248718	0.106346	0.040934
8.193709	0.987005	0.083598	0.090452
8.144671	1.550529	0.087810	0.084095
7.607442	1.678780	0.110536	0.162633
8.083062	1.126462	0.103130	0.099384
6.229759	1.140342	0.047977	0.057320
8.110124	1.246102	0.061408	0.047289
8.074821	1.289131	0.097652	0.065773
8.025949	1.442715	0.056872	0.069059
8.079762	1.522609	0.087471	0.074239
8.012547	1.536821	0.063430	0.041851
8.015911	1.671904	0.037134	0.044420
8.140556	1.317840	0.050266	0.097978
4.274057	1.496132	0.047342	0.055597
3.246437	0.934685	0.150836	0.121844
8.138899	1.145202	0.171424	0.181680
8.111697	1.074325	0.074643	0.105030
8.207292	0.966450	0.072088	0.064251
8.080299	1.129356	0.082351	0.057975
8.088352	1.674201	0.052153	0.035660
8.073471	0.962166	0.057845	0.061522
8.183086	1.147029	0.031058	0.038224
8.213057	0.891645	0.049931	0.053003
3.596812	1.158851	0.062459	0.097963
8.166151	0.995511	0.068739	0.076735
8.058284	1.077958	0.068047	0.059473
4.307262	0.796340	0.063993	0.062186
8.103657	1.123823	0.066450	0.069353
8.093961	1.168928	0.052364	0.059462
8.135353	1.415284	0.063005	0.070110
8.104968	1.055932	0.050156	0.167074
8.112967	1.189178	0.103736	0.102653
7.781053	1.068260	0.052501	0.111877
8.047179	1.133909	0.057580	0.062331
7.817013	1.235483	0.079502	0.101417
8.190440	1.124276	0.069670	0.075414
7.719456	0.950758	0.055265	0.039263
8.197891	0.808335	0.068334	0.063977
7.752578	0.977538	0.051809	0.054681
5.998187	1.335773	0.054743	0.045780
8.084516	0.625238	0.058313	0.052709
8.116977	1.143735	0.052940	0.042165
8.064473	0.775980	0.083053	0.068993
8.108560	1.129663	0.059862	0.057734
8.149341	0.744314	0.070679	0.075015
8.136166	0.418596	0.070340	0.068808
4.264455	0.757034	0.036298	0.043146
8.030760	0.956239	0.050511	0.050390
8.085719	0.917549	0.051150	0.065259
8.059437	0.507904	0.076713	0.047126
8.091168	0.872519	0.056849	0.051132
8.158273	0.904149	0.069423	0.057257
7.949303	0.814755	0.045094	0.054720
8.157510	0.549669	0.066641	0.072007
8.015881	1.002131	0.044175	0.047234
8.103656	0.584482	0.044756	0.067353
6.076709	0.195333	0.064175	0.067278
8.174209	0.519954	0.063246	0.071969
7.906920	0.529705	0.092899	0.087332
8.001227	0.898298	0.090486	0.117256
8.085525	0.657160	0.068622	0.075732
8.185951	0.523909	0.099423	0.202704
